,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
177,trappes,48.7775,2.0025,France,FR,Île-de-France,,33717,33717
178,nogent-sur-marne,48.8375,2.4833,France,FR,Île-de-France,minor,33472,33472
179,houilles,48.9261,2.1892,France,FR,Île-de-France,,33449,33449
180,montluçon,46.3408,2.6033,France,FR,Auvergne-Rhône-Alpes,minor,33342,33342
181,romainville,48.884,2.435,France,FR,Île-de-France,,33266,33266
182,nevers,46.9933,3.1572,France,FR,Bourgogne-Franche-Comté,minor,32830,32830
183,lens,50.4322,2.8333,France,FR,Hauts-de-France,minor,32618,32618
184,agen,44.2049,0.6212,France,FR,Nouvelle-Aquitaine,minor,32485,32485
185,pierrefitte-sur-seine,48.9656,2.3614,France,FR,Île-de-France,,32379,32379
186,bezons,48.9261,2.2178,France,FR,Île-de-France,,32017,32017
187,aix-les-bains,45.6886,5.915,France,FR,Auvergne-Rhône-Alpes,,31874,31874
188,montigny-le-bretonneux,48.7711,2.0333,France,FR,Île-de-France,,31777,31777
189,cambrai,50.1767,3.2356,France,FR,Hauts-de-France,minor,31425,31425
190,l’haÿ-les-roses,48.78,2.3374,France,FR,Île-de-France,minor,31392,31392
191,plaisir,48.8183,1.9472,France,FR,Île-de-France,,31375,31375
192,pontoise,49.0516,2.1017,France,FR,Île-de-France,,31327,31327
193,rillieux-la-pape,45.8214,4.8983,France,FR,Auvergne-Rhône-Alpes,,31247,31247
194,thiais,48.765,2.3923,France,FR,Île-de-France,,31097,31097
195,vigneux-sur-seine,48.7001,2.417,France,FR,Île-de-France,,31050,31050
196,viry-châtillon,48.6713,2.375,France,FR,Île-de-France,,31045,31045
197,saint-laurent-du-var,43.668,7.188,France,FR,Provence-Alpes-Côte d’Azur,,30941,30941
198,bègles,44.8086,-0.5478,France,FR,Nouvelle-Aquitaine,,30813,30813
199,goussainville,49.0325,2.4747,France,FR,Île-de-France,,30693,30693
200,villiers-sur-marne,48.8275,2.5447,France,FR,Île-de-France,,30669,30669
201,cachan,48.7919,2.3319,France,FR,Île-de-France,,30592,30592
202,savigny-le-temple,48.5841,2.5832,France,FR,Île-de-France,,30510,30510
203,menton,43.775,7.5,France,FR,Provence-Alpes-Côte d’Azur,,30412,30412
204,villemomble,48.8833,2.5,France,FR,Île-de-France,,30332,30332
205,malakoff,48.8172,2.2992,France,FR,Île-de-France,,30292,30292
206,liévin,50.4228,2.7786,France,FR,Hauts-de-France,,30149,30149
207,la garenne-colombes,48.9056,2.2445,France,FR,Île-de-France,,29932,29932
208,ris-orangis,48.6537,2.4161,France,FR,Île-de-France,,29825,29825
209,bois-colombes,48.9175,2.2683,France,FR,Île-de-France,,29765,29765
210,clichy-sous-bois,48.9102,2.5532,France,FR,Île-de-France,,29735,29735
211,décines-charpieu,45.7694,4.9594,France,FR,Auvergne-Rhône-Alpes,,29731,29731
212,saint-cloud,48.84,2.22,France,FR,Île-de-France,,29727,29727
213,chatou,48.8897,2.1573,France,FR,Île-de-France,,29649,29649
214,vandœuvre-lès-nancy,48.6567,6.1683,France,FR,Grand Est,,29537,29537
215,périgueux,45.1929,0.7217,France,FR,Nouvelle-Aquitaine,minor,29516,29516
216,charenton-le-pont,48.8265,2.405,France,FR,Île-de-France,,29445,29445
217,tournefeuille,43.5853,1.3442,France,FR,Occitanie,,29439,29439
218,guyancourt,48.7714,2.0739,France,FR,Île-de-France,,29406,29406
219,le plessis-robinson,48.7811,2.2633,France,FR,Île-de-France,,29228,29228
220,draveil,48.6852,2.408,France,FR,Île-de-France,,29173,29173
221,maubeuge,50.2775,3.9734,France,FR,Hauts-de-France,,29066,29066
222,ermont,48.9922,2.2603,France,FR,Île-de-France,,28987,28987
223,sotteville-lès-rouen,49.4092,1.09,France,FR,Normandie,,28965,28965
224,villiers-le-bel,49.0094,2.3911,France,FR,Île-de-France,,28836,28836
225,fresnes,48.755,2.3221,France,FR,Île-de-France,,28780,28780
226,soissons,49.3817,3.3236,France,FR,Hauts-de-France,minor,28705,28705
227,yerres,48.7171,2.4881,France,FR,Île-de-France,,28699,28699
228,saint-étienne-du-rouvray,49.3786,1.105,France,FR,Normandie,,28508,28508
229,dieppe,49.925,1.075,France,FR,Normandie,minor,28358,28358
230,saint-sébastien-sur-loire,47.2081,-1.5014,France,FR,Pays de la Loire,,28283,28283
231,vallauris,43.5805,7.0538,France,FR,Provence-Alpes-Côte d’Azur,,28025,28025
232,vanves,48.8208,2.2897,France,FR,Île-de-France,,28014,28014
233,lomme,50.6358,3.0142,France,FR,Hauts-de-France,,28006,28006
234,limeil-brévannes,48.7464,2.4883,France,FR,Île-de-France,,27999,27999
235,montfermeil,48.9,2.5667,France,FR,Île-de-France,,27980,27980
236,le chesnay,48.8211,2.1311,France,FR,Île-de-France,,27683,27683
237,sucy-en-brie,48.7697,2.5228,France,FR,Île-de-France,,27622,27622
238,grigny,48.6562,2.3849,France,FR,Île-de-France,,27257,27257
239,lambersart,50.65,3.025,France,FR,Hauts-de-France,,27121,27121
240,brétigny-sur-orge,48.6114,2.3059,France,FR,Île-de-France,,27106,27106
241,taverny,49.0264,2.2275,France,FR,Île-de-France,,27025,27025
242,oullins,45.7142,4.8075,France,FR,Auvergne-Rhône-Alpes,,26994,26994
243,villeparisis,48.9503,2.6025,France,FR,Île-de-France,,26822,26822
244,cenon,44.8578,-0.5317,France,FR,Nouvelle-Aquitaine,,26778,26778
245,sannois,48.9722,2.2578,France,FR,Île-de-France,,26768,26768
246,cormeilles-en-parisis,48.9739,2.2014,France,FR,Île-de-France,,26741,26741
247,bussy-saint-georges,48.8422,2.6983,France,FR,Île-de-France,,26571,26571
248,blagnac,43.6364,1.3906,France,FR,Occitanie,,26466,26466
249,élancourt,48.7847,1.9589,France,FR,Île-de-France,,26082,26082
250,le grand-quevilly,49.4072,1.0531,France,FR,Normandie,,25975,25975
251,la garde,43.1256,6.0108,France,FR,Provence-Alpes-Côte d’Azur,,25912,25912
252,gradignan,44.7725,-0.6156,France,FR,Nouvelle-Aquitaine,,25835,25835
253,vichy,46.1278,3.4267,France,FR,Auvergne-Rhône-Alpes,minor,25789,25789
254,biarritz,43.48,-1.56,France,FR,Nouvelle-Aquitaine,,25764,25764
255,champs-sur-marne,48.8529,2.6027,France,FR,Île-de-France,,25695,25695
256,armentières,50.6881,2.8811,France,FR,Hauts-de-France,,25581,25581
257,montbéliard,47.51,6.8,France,FR,Bourgogne-Franche-Comté,minor,25573,25573
258,alençon,48.4306,0.0931,France,FR,Normandie,minor,25555,25555
259,brunoy,48.6979,2.5044,France,FR,Île-de-France,,25423,25423
260,eaubonne,48.9922,2.2806,France,FR,Île-de-France,,25373,25373
261,villeneuve-la-garenne,48.9372,2.3278,France,FR,Île-de-France,,25371,25371
262,cherbourg,49.63,-1.62,France,FR,Normandie,minor,25370,25370
263,saint-ouen-l’aumône,49.0447,2.1111,France,FR,Île-de-France,,25023,25023
264,béthune,50.5303,2.6408,France,FR,Hauts-de-France,minor,24992,24992
265,castelnau-le-lez,43.6369,3.9019,France,FR,Occitanie,,24888,24888
266,fontenay-aux-roses,48.7893,2.2888,France,FR,Île-de-France,,24772,24772
267,orly,48.7439,2.3928,France,FR,Île-de-France,,24482,24482
